date,title,url,source,tone,tone_label
2018-04-10,EirGrid warns Dublin data centers threaten grid stability,,Irish Times,-3.5,negative
2019-01-20,An Bord Pleanala refuses data center planning permission,,Irish Times,-3.5,negative
2019-07-15,CRU: data centers to consume 31pct of Irish electricity by 2028,,RTE News,-3.5,negative
2020-02-05,Dublin data center moratorium discussed in Oireachtas,,Oireachtas,-3.5,negative
2020-05-12,EirGrid grid capacity report: data center constraint zones,,EirGrid,-3.5,negative
2020-09-08,Irish government consults on data center planning policy,,DCCAE,0.0,neutral
2021-03-22,Dublin City Council debates data center planning moratorium,,DCC,-3.5,negative
2021-06-10,Irish Times editorial: data centers vs renewable targets,,Irish Times,-3.5,negative
2021-11-15,Government publishes Data Centre Planning Policy Statement,,DCCAE,0.0,neutral
2022-01-08,EirGrid refuses grid connection to three Dublin data centers,,EirGrid,-3.5,negative
2022-05-20,IDA Ireland defends data centers as FDI,,IDA Ireland,2.5,positive
2022-10-12,Climate Action Plan restricts data center connections,,DCCAE,-3.5,negative
2023-03-15,Community campaign: Clondalkin residents oppose data center,,Irish Times,-3.5,negative
2023-08-01,New grid connection policy for data centers published,,CRU,0.0,neutral
2024-02-12,Data center planning refusals accelerate,,Irish Times,-3.5,negative
2024-07-20,Microsoft campus approval challenged at An Bord Pleanala,,Irish Times,-3.5,negative
