Topic,Count,Name,Representation,Representative_Docs
-1,14867,-1_to_data_center_in,"['to', 'data', 'center', 'in', 'the', 'for', 'of', 'and', 'cloud', 'with']","['Google signs 10 year PPA with Netherlands’ largest solar farm. Planning to use the electricity to power new\xa0€600m data center', 'AES and Google sign 500MW renewable energy deal for Northern Virginia data centers. Energy company to provide search giant’s facility with mix of wind, solar, hydro and battery storage over ten years', 'Lenovo launches GPU-as-a-Service offering. As well as power and cooling services, and an AI upgrade to its management platform']"
0,20904,0_in_data_center_to,"['in', 'data', 'center', 'to', 'the', 'for', 'and', 'of', 'company', 'new']","['Google launches Berlin cloud region in Germany. Company launches second German cloud region, first hyperscaler in the capital', 'Huawei to build second data center in Santiago, Chile. The new facility will bolster its cloud and AI platform in South America', ""Microsoft invests $1.1bn into Mexico as it plans new cloud region. As part of the company's big push into Central America""]"
1,642,1_cooling_liquid_immersion_cooled,"['cooling', 'liquid', 'immersion', 'cooled', 'system', 'cdu', 'rack', 'iceotope', 'launches', 'fluid']","['Carrier launches CDU for liquid cooling. New distribution unit able to offer up to 5MW of cooling', 'Stulz uses CoolIT liquid cooling in micro edge unit. Direct-to-the-chip liquid cooling for use in HPC', 'The science of liquid cooling.']"
2,639,2_equinix_equinixs_in_opens,"['equinix', 'equinixs', 'in', 'opens', 'data', 'exchange', 'center', 'expansion', 'singapore', 'new']","['Equinix opens Singapore support center.', 'Equinix opens Singapore support center.', 'Equinix announces two new data centers.']"
3,476,3_ceo_appoints_as_chief,"['ceo', 'appoints', 'as', 'chief', 'names', 'role', 'cto', 'former', 'down', 'cio']","['HP appoints new CEO.', 'HP appoints new CEO.', 'HP appoints new CEO.']"
4,310,4_de_en_la_el,"['de', 'en', 'la', 'el', 'para', 'los', 'su', 'datos', 'un', 'del']","['Fallo el+®ctrico en un DC de la Xunta de Galicia.', 'Hitachi: el futuro de la infraestructura de IT empresaria est+í en La nube.', 'La ONU destaca el cumplimiento de los plazos en los trabajos del Centro de Operaciones de Quart de Poblet (Valencia).']"
5,177,5_storage_flash_ssd_ssds,"['storage', 'flash', 'ssd', 'ssds', 'hard', 'drives', 'drive', 'seagate', 'allflash', 'hdd']","['Seagate gets serious about flash, expands Nytro SSD range. Hard drive giant is changing its tune', 'Intel expands storage range with two 3D NAND SSDs. Dual port PCIe flash drives offer lower costs with high availability through 3D solid state configurations', 'Sun launches new flash storage array.']"
6,151,6_tower_cell_man_copper,"['tower', 'cell', 'man', 'copper', 'theft', 'arrested', 'police', 'worker', 'radio', 'after']","['Man arrested for theft of cell tower equipment across Arizona. The suspect targeted more than 35 T-Mobile sites', 'Georgia man arrested for stealing $50,000 worth of telco tower equipment. Elsewhere a man in Kansas is charged for burglary at a cell tower', 'Two arrested for stealing copper at cell tower in Texas. Copper theft trend continues']"
7,129,7_rackspace_rackable_cloud_managed,"['rackspace', 'rackable', 'cloud', 'managed', 'rack', 'service', 'graphics', 'devops', 'onmetal', 'clouds']","['Rackspace builds new data center in UK.', 'Rackspace opens new data center in Australia.', 'Rackspace launches Australian cloud.']"
8,124,8_carbon_removal_credits_tons,"['carbon', 'removal', 'credits', 'tons', 'capture', 'microsoft', 'co2', 'purchase', 'deal', 'biochar']","['Microsoft to purchase 18m tons of carbon credits from Rubicon Carbon. Agreement covers removal credits tired to afforestation projects', 'Frontier to purchase 96,000 tons of carbon removal credits from biogas carbon capture firm Reverion. Set to be delivered between 2027 and 2030', ""Microsoft to purchase 1.5 million tons of carbon removal credits in India. The 30-year agreement is the company's first in India""]"
