page,date_raw,date_parsed,headline,url,tags,contestation
1,2026-04-23,2026-04-23,FCC gives AST SpaceMobile the go ahead to launch satellite broadband service,https://www.datacenterdynamics.com/en/news/fcc-gives-ast-spacemobile-the-go-ahead-to-launch-satellite-broadband-service/,,True
1,2026-04-23,2026-04-23,"Planning commission in Franklin County, Missouri, recommends approval of one data center, denies another",https://www.datacenterdynamics.com/en/news/planning-commission-in-franklin-county-missouri-recommends-approval-of-one-data-center-denies-another/,,True
1,2026-04-23,2026-04-23,"Mayor of Mansfield, Ohio, says city will ""no longer pursue"" data center project",https://www.datacenterdynamics.com/en/news/mayor-of-mansfield-ohio-says-city-will-no-longer-pursue-data-center-project/,,True
1,2026-04-23,2026-04-23,"Harford County, Maryland, could impose 90-day moratorium on data centers",https://www.datacenterdynamics.com/en/news/harford-county-maryland-could-impose-90-day-moratorium-on-data-centers/,,True
1,2026-04-23,2026-04-23,"Thor Equities looks to build 460,000 sq ft data center campus near Urbana, Ohio",https://www.datacenterdynamics.com/en/news/thor-equities-looks-to-build-460000-sq-ft-data-center-campus-near-urbana-ohio/,,True
1,2026-04-23,2026-04-23,"KDDI signs third onshore wind vPPA with J-Power in Yurihonjo City, Japan",https://www.datacenterdynamics.com/en/news/kddi-signs-third-onshore-wind-vppa-with-j-power-in-yurihonjo-city-japan/,,True
2,2026-04-23,2026-04-23,"Thor Equities looks to build 460,000 sq ft data center campus near Urbana, Ohio",https://www.datacenterdynamics.com/en/news/thor-equities-looks-to-build-460000-sq-ft-data-center-campus-near-urbana-ohio/,,True
2,2026-04-23,2026-04-23,"KDDI signs third onshore wind vPPA with J-Power in Yurihonjo City, Japan",https://www.datacenterdynamics.com/en/news/kddi-signs-third-onshore-wind-vppa-with-j-power-in-yurihonjo-city-japan/,,True
2,2026-04-22,2026-04-22,UK's Competition Appeal Tribunal rules $2.8bn lawsuit against Microsoft can go to trial,https://www.datacenterdynamics.com/en/news/uks-competition-appeal-tribunal-rules-28bn-lawsuit-against-microsoft-can-go-to-trial/,,True
3,2026-04-22,2026-04-22,"EQT, Omers to increase investment in struggling broadband provider Deutsche Glasfaser - report",https://www.datacenterdynamics.com/en/news/eqt-omers-to-increase-investment-in-struggling-broadband-provider-deutsche-glasfaser-report/,,True
3,2026-04-22,2026-04-22,DataBank secures $2bn construction financing for Dallas data centers,https://www.datacenterdynamics.com/en/news/databank-secures-2bn-construction-financing-for-dallas-data-centers/,,True
3,2026-04-22,2026-04-22,ECL plans 35MW data center in California that will use some hydrogen power,https://www.datacenterdynamics.com/en/news/ecl-plans-35mw-data-center-in-california-that-will-use-some-hydrogen-power/,,True
3,2026-04-21,2026-04-21,"Plans to build 1,300-acre data center in Fort Meade, Florida, gets go-ahead from officials",https://www.datacenterdynamics.com/en/news/plans-to-build-1300-acre-data-center-in-fort-meade-florida-gets-go-ahead-from-officials/,,True
3,2026-04-21,2026-04-21,NTT decommissions data center outside London,https://www.datacenterdynamics.com/en/news/ntt-decommissions-data-center-outside-london/,,True
3,2026-04-21,2026-04-21,"Officials in North Carolina County give ok for rezoning, potential data center incoming",https://www.datacenterdynamics.com/en/news/officials-in-north-carolina-county-give-ok-for-rezoning-potential-data-center-incoming/,,True
4,2026-04-21,2026-04-21,"Modular data center planned at steel factory in South Wales, UK",https://www.datacenterdynamics.com/en/news/modular-data-center-planned-at-steel-factory-in-south-wales-uk/,,True
4,2026-04-20,2026-04-20,Samsung asks court to stop workers engaging in “illegal activities” during upcoming strike,https://www.datacenterdynamics.com/en/news/samsung-asks-court-to-stop-workers-engaging-in-illegal-activities-during-upcoming-strike/,,True
5,2026-04-20,2026-04-20,Developer says it will build larger data center if plans for smaller facility near Philadelphia go unapproved,https://www.datacenterdynamics.com/en/news/developer-says-it-will-build-larger-data-center-if-plans-for-smaller-facility-near-philadelphia-go-unapproved/,,True
5,2026-04-20,2026-04-20,Former Remington gun factory in New York set to become 200MW data center,https://www.datacenterdynamics.com/en/news/former-remington-gun-factory-in-new-york-set-to-become-200mw-data-center/,,True
5,2026-04-20,2026-04-20,"Developer withdraws application for 70MW data center in Hutto, Texas",https://www.datacenterdynamics.com/en/news/developer-withdraws-application-for-70mw-data-center-in-hutto-texas/,,True
5,2026-04-20,2026-04-20,Officials in North Carolina county void data center rezoning amid legal challenge,https://www.datacenterdynamics.com/en/news/officials-in-north-carolina-county-void-data-center-rezoning-amid-legal-challenge/,,True
5,2026-04-20,2026-04-20,"Google takes over Project Maize data center campus in Michigan City, Indiana",https://www.datacenterdynamics.com/en/news/google-takes-over-project-maize-data-center-campus-in-michigan-city-indiana/,,True
5,2026-04-20,2026-04-20,"$1.7bn data center could be built in Lebanon County, Pennsylvania",https://www.datacenterdynamics.com/en/news/17bn-data-center-could-be-built-in-lebanon-county-pennsylvania/,,True
5,2026-04-19,2026-04-19,"Think-tank sues Tennessee county over data center and crypto ban, calls block unconstitutional",https://www.datacenterdynamics.com/en/news/think-tank-sues-tennessee-county-over-data-center-and-crypto-ban-calls-block-unconstitutional/,,True
